top - 07:16:45 up 45 min,  1 user,  load average: 0.07, 0.09, 0.10
Tasks: 235 total,   2 running, 233 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.9 us,  0.0 sy,  0.0 ni, 99.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3915.9 total,    470.2 free,   1875.4 used,   1663.6 buff/cache     
MiB Swap:      0.0 total,      0.0 free,      0.0 used.   2040.4 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1908 user      20   0  162652   6924   6284 S   0.0   0.2   0:00.00 gcr-ssh+
   1910 user      20   0   91548   5576   5192 S   0.0   0.1   0:00.00 gnome-s+
   1921 user      20   0  314268   7780   7140 S   0.0   0.2   0:00.02 gvfsd
   1940 user      20   0  459708   7044   6404 S   0.0   0.2   0:00.00 gvfsd-f+
   1944 user      20   0  594216  17892  15332 S   0.0   0.4   0:00.09 gnome-s+
   1973 user      20   0  382940   7724   7084 S   0.0   0.2   0:00.00 at-spi-+
   1986 user      20   0    9612   5112   4600 S   0.0   0.1   0:00.12 dbus-da+
   2043 user      20   0  236068   7352   6712 S   0.0   0.2   0:00.00 at-spi2+
   2063 user      20   0  654716  17224  14792 S   0.0   0.4   0:00.01 gnome-s+
   2073 user      20   0 2531636  26836  22152 S   0.0   0.7   0:00.03 gjs
   2088 user      20   0  388836  11904   6788 S   0.0   0.3   0:01.91 ibus-da+
   2089 user      20   0  383520   6492   5980 S   0.0   0.2   0:00.00 gsd-a11+
   2092 user      20   0  412976  19940  17124 S   0.0   0.5   0:00.06 gsd-col+
   2094 user      20   0  431672  12276  10996 S   0.0   0.3   0:00.01 gsd-dat+
   2096 user      20   0  458868   7688   7048 S   0.0   0.2   0:00.03 gsd-hou+
   2098 user      20   0  485548  19428  16612 S   0.0   0.5   0:00.05 gsd-key+
   2099 user      20   0  520356  24840  21384 S   0.0   0.6   0:00.09 gsd-med+
   2101 user      20   0  523592  23768  20056 S   0.0   0.6   0:00.07 gsd-pow+
   2103 user      20   0  323628  11468  10060 S   0.0   0.3   0:00.01 gsd-pri+
   2104 user      20   0  531084   6272   5760 S   0.0   0.2   0:00.00 gsd-rfk+
   2105 user      20   0  309560   6008   5624 S   0.0   0.1   0:00.00 gsd-scr+
   2109 user      20   0  543188  11576   9912 S   0.0   0.3   0:00.01 gsd-sha+
   2110 user      20   0  385820   8136   7240 S   0.0   0.2   0:00.01 gsd-sma+
   2111 user      20   0  393636   9656   8632 S   0.0   0.2   0:00.01 gsd-sou+
   2112 user      20   0  412672  20080  17008 S   0.0   0.5   0:00.06 gsd-wac+
   2143 user      20   0  305624   7284   6132 S   0.0   0.2   0:00.00 gsd-dis+
   2150 user      20   0  823680  60312  46616 S   0.0   1.5   0:00.13 evoluti+
   2213 user      20   0  416236  14616  12952 S   0.0   0.4   0:00.00 gsd-pri+
   2270 user      20   0  236644   6992   6480 S   0.0   0.2   0:00.00 ibus-me+
   2271 user      20   0  421532  29556  18432 S   0.0   0.7   0:01.79 ibus-ex+
   2275 user      20   0  463052  10732   9068 S   0.0   0.3   0:00.07 gvfs-ud+
   2279 user      20   0  310424   7084   6572 S   0.0   0.2   0:00.01 ibus-po+
   2294 user      20   0  389376   7828   6932 S   0.0   0.2   0:00.08 gvfs-af+
   2308 user      20   0  592744  42596  34532 S   0.0   1.1   0:00.05 evoluti+
   2309 user      20   0  310760   6708   6196 S   0.0   0.2   0:00.00 gvfs-gp+
   2314 user      20   0  309792   6376   5992 S   0.0   0.2   0:00.00 gvfs-mt+
   2319 user      20   0  309772   6136   5752 S   0.0   0.2   0:00.00 gvfs-go+
   2333 user      20   0  546660  23976  20520 S   0.0   0.6   0:00.01 goa-dae+
